ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,",Bogota , colombia",dir,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos,CausaConductorIDesc,CausaConductorIIDesc
Choque,Vehiculo, , , , ,0,0,KR 28D-CL 17 02,",Bogota,Colombia","KR 28D-CL 17 02,Bogota,Colombia",KR,28,D, ,CL,17, , ,LOS MARTIRES,12/31/1899 10:00:00 PM,Interseccion,Normal,0,0,DESOBEDECER SEÑALES,DESOBEDECER SEÑALES
Choque,Vehiculo, , , , ,0,0,CL 122-KR 19A 02,",Bogota,Colombia","CL 122-KR 19A 02,Bogota,Colombia",CL,122, , ,KR,19,A, ,USAQUEN,12/31/1899 01:55:00 PM,Tramo de Via,Normal,0,0, ,DESOBEDECER SEÑALES
Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE VILLAVICENCIO-CL 59 S 02,",Bogota,Colombia","AV AVENIDA CIUDAD DE VILLAVICENCIO-CL 59 S 02,Bogota,Colombia",AV,AVENIDA CIUDAD DE VILLAVICENCIO, , ,CL,59, ,S,CIUDAD BOLIVAR,12/31/1899 07:45:00 AM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,AV AVENIDA CARACAS-CL 32 02,",Bogota,Colombia","AV AVENIDA CARACAS-CL 32 02,Bogota,Colombia",AV,AVENIDA CARACAS, , ,CL,32, , ,SANTA FE,12/31/1899 03:30:00 PM,Tramo de Via,Normal,0,0,TRANSITAR ENTRE VEHICULOS, 
Choque,Vehiculo, , , , ,0,0,KR 7-CL 85 02,",Bogota,Colombia","KR 7-CL 85 02,Bogota,Colombia",KR,7, , ,CL,85, , ,CHAPINERO,12/31/1899 12:56:00 AM,Interseccion,Normal,0,1,DESOBEDECER SEÑALES,DESOBEDECER SEÑALES
Choque,Vehiculo, , , , ,0,0,CL 170-KR 92 02,",Bogota,Colombia","CL 170-KR 92 02,Bogota,Colombia",CL,170, , ,KR,92, , ,SUBA,12/31/1899 08:30:00 PM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,KR 33-CL 47 S 52,",Bogota,Colombia","KR 33-CL 47 S 52,Bogota,Colombia",KR,33, , ,CL,47, ,S,TUNJUELITO,12/31/1899 02:05:00 PM,Tramo de Via,Normal,0,2, ,TRANSPORTAR OTRA PERSONA O COSAS
Choque,Vehiculo, , , , ,0,0,KR 13-CL 26A 02,",Bogota,Colombia","KR 13-CL 26A 02,Bogota,Colombia",KR,13, , ,CL,26,A, ,SANTA FE,12/31/1899 10:20:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Atropello, , , , , ,0,0,CL 1-KR 24 02,",Bogota,Colombia","CL 1-KR 24 02,Bogota,Colombia",CL,1, , ,KR,24, , ,LOS MARTIRES,12/31/1899 06:00:00 PM,Lote o predio,Normal,0,1,OTRA, 
Volcamiento, , , , , ,0,0,AV AVENIDA BOYACA-CL 2B 26,",Bogota,Colombia","AV AVENIDA BOYACA-CL 2B 26,Bogota,Colombia",AV,AVENIDA BOYACA, , ,CL,2,B, ,KENNEDY,12/31/1899 12:22:00 PM,Tramo de Via,Normal,1,1,TRANSITAR ENTRE VEHICULOS, 
Choque,Vehiculo, , , , ,0,0,KR 13-CL 55 02,",Bogota,Colombia","KR 13-CL 55 02,Bogota,Colombia",KR,13, , ,CL,55, , ,CHAPINERO,12/31/1899 07:00:00 AM,Tramo de Via,Normal,0,0,NO UTILIZAR - GIRAR BRUSCAMENTE, 
